presencia,bio_11,bio_12,bio_13,bio_14,bio_4,bio_5,bio_7
0,243,3152,331,195,475,309,113
1,264,2109,298,69,473,334,124
1,250,2227,348,14,508,335,160
0,250,2344,388,10,585,358,200
1,233,2942,402,110,697,310,138
1,233,3353,392,185,433,298,113
0,249,2391,402,11,562,357,199
1,249,3384,406,147,505,316,110
1,265,2954,413,126,417,325,104
0,266,2097,297,70,457,335,122
0,239,2200,340,54,1026,327,152
1,247,2693,320,148,599,313,113
0,249,3384,406,147,505,316,110
1,249,3059,367,100,723,316,111
0,256,2786,265,177,423,320,116
0,254,2887,263,201,429,318,116
1,254,2887,263,201,429,318,116
1,249,3059,367,100,723,316,111
1,255,2919,328,195,462,315,107
1,243,3169,343,201,463,307,112
0,260,2091,255,100,349,326,119
0,260,2091,255,100,349,326,119
1,250,2344,388,10,585,358,200
0,243,3152,331,195,475,309,113
0,243,3201,330,200,457,308,112
1,249,2363,392,10,591,358,201
1,260,2335,358,15,405,348,171
0,218,2840,392,104,705,301,149
0,249,1859,298,47,547,318,121
1,248,2099,353,9,470,342,180
0,266,2488,366,25,1197,357,138
0,252,3290,400,131,522,319,111
1,260,2153,331,48,582,330,113
0,234,3244,465,111,992,315,141
0,239,2598,349,83,702,317,144
0,249,3384,406,147,505,316,110
1,233,2225,315,52,1080,323,159
1,221,1861,274,68,1389,312,150
1,250,2835,351,112,715,319,114
1,238,2909,395,99,785,314,139
1,250,2243,351,18,544,334,157
0,243,3152,331,195,475,309,113
0,204,4157,477,249,377,270,119
0,257,2753,287,159,447,321,114
0,245,3132,330,189,444,309,111
1,250,2344,388,10,585,358,200
0,234,1773,233,62,512,313,152
0,258,2777,317,172,438,319,113
1,250,1952,271,43,545,324,142
1,243,3174,331,195,465,309,113
1,249,3324,403,136,527,316,110
0,245,3455,365,203,474,310,110
0,242,2373,375,6,588,356,209
0,243,2394,374,8,595,357,209
1,243,2398,377,8,596,356,208
0,234,2983,407,111,720,311,138
1,262,2317,241,109,456,331,128
1,239,2060,322,53,1089,328,153
0,257,2305,264,96,483,328,131
0,257,2753,287,159,447,321,114
1,249,3324,403,136,527,316,110
0,233,3571,521,133,1023,313,136
0,261,2211,331,54,551,330,110
0,245,3132,330,189,444,309,111
0,231,3921,570,154,991,309,132
0,245,3476,371,200,475,309,109
0,236,3059,419,106,854,313,138
0,251,1762,258,58,524,327,145
0,243,3174,331,195,465,309,113
0,239,1797,267,28,959,326,152
1,262,2435,235,157,384,325,111
1,260,2246,235,130,351,321,111
0,222,4425,657,184,1007,301,133
1,264,2506,364,25,1195,355,138
0,236,2574,392,77,1039,322,147
1,259,2597,292,135,421,323,115
1,255,1657,263,14,712,344,159
1,241,2470,330,78,696,319,144
1,262,2134,303,69,468,332,123
1,226,1668,204,90,539,291,123
1,235,3117,425,118,734,310,134
1,227,3060,421,119,703,305,139
0,236,3292,456,119,855,312,136
0,248,2791,312,157,523,312,111
1,239,2010,310,48,1073,330,156
1,238,3230,363,178,466,302,112
0,239,3220,356,182,469,303,112
1,249,2363,392,10,591,358,201
1,236,2744,415,87,1071,320,144
0,264,2290,308,48,377,335,133
0,256,2943,314,196,438,318,113
1,262,2283,311,44,400,334,136
1,258,2818,294,165,441,321,113
1,236,3177,438,112,847,312,136
1,254,2821,293,178,522,315,107
0,233,3267,462,113,953,313,140
1,255,2830,286,198,473,315,107
0,253,2849,287,188,515,314,108
0,238,1993,306,47,1061,329,157
1,238,1993,306,47,1061,329,157
1,239,2131,328,52,1042,328,154
1,238,2164,335,53,1059,327,153
1,238,1993,306,47,1061,329,157
1,244,3104,329,196,477,309,112
0,237,3165,357,163,435,301,112
1,246,2731,322,145,681,314,114
0,252,1781,248,61,485,325,141
0,238,2312,356,61,1034,326,151
1,250,1783,252,60,499,325,143
1,252,3290,400,131,522,319,111
0,237,3048,415,112,740,313,136
1,242,3184,330,201,447,308,112
0,234,2175,319,51,1065,324,158
0,259,2345,370,15,439,347,173
1,260,2335,358,15,405,348,171
0,259,2322,364,15,421,347,171
0,235,2687,407,83,1064,321,147
1,250,2344,388,10,585,358,200
0,254,2871,318,159,447,315,111
1,249,2363,392,10,591,358,201
0,233,1751,245,21,1022,323,163
1,242,3184,330,201,447,308,112
0,250,2344,388,10,585,358,200
0,243,3152,331,195,475,309,113
1,253,3016,298,195,431,314,110
1,258,2780,284,163,466,322,114
0,235,3404,479,123,926,312,136
0,227,1912,285,69,1557,326,163
0,240,1639,212,53,526,319,151
1,243,3152,331,195,475,309,113
1,261,2629,283,138,435,328,122
1,237,2468,378,71,1063,324,148
1,257,2801,317,163,439,318,113
1,250,2341,401,10,565,355,197
0,237,2468,378,71,1063,324,148
1,239,2254,347,57,1031,327,152
0,258,2777,317,172,438,319,113
1,252,2925,314,159,402,310,107
1,252,2946,332,176,443,312,107
0,253,3006,321,162,417,311,105
0,236,2744,415,87,1071,320,144
1,266,2097,297,70,457,335,122
0,227,3060,421,119,703,305,139
0,236,3059,419,106,854,313,138
0,258,2615,291,140,467,323,115
0,258,2615,291,140,467,323,115
0,244,3120,328,195,471,309,112
1,235,3117,425,118,734,310,134
0,241,2470,330,78,696,319,144
1,243,3152,331,195,475,309,113
0,239,2752,371,92,753,316,140
1,233,1948,279,38,1116,325,163
0,254,2968,315,206,446,315,111
1,236,3059,419,106,854,313,138
1,243,3174,331,195,465,309,113
1,243,3201,330,200,457,308,112
0,236,3292,456,119,855,312,136
1,234,1724,242,19,997,323,161
0,253,2249,357,16,454,346,172
0,243,3172,346,203,464,307,112
1,232,1687,232,19,981,321,164
0,236,3292,456,119,855,312,136
1,252,2418,384,15,470,337,161
0,245,3132,330,189,444,309,111
1,234,1813,201,110,443,304,124
0,219,1860,284,63,1307,309,149
1,239,2010,310,48,1073,330,156
0,251,1703,216,88,469,329,149
1,226,2609,365,89,423,302,144
1,249,2702,322,136,665,317,114
1,246,2625,281,147,582,311,112
0,235,3117,425,118,734,310,134
1,233,3353,392,185,433,298,113
1,234,1552,186,95,495,308,140
0,256,1691,217,54,526,333,141
1,243,3152,331,195,475,309,113
1,242,3184,330,201,447,308,112
0,233,3447,401,187,416,296,112
1,233,3182,458,107,1002,315,143
1,239,2254,347,57,1031,327,152
0,236,3059,419,106,854,313,138
1,239,2254,347,57,1031,327,152
0,253,2702,311,136,367,313,114
0,229,1871,257,32,1132,322,167
0,236,2574,392,77,1039,322,147
1,237,2692,274,184,422,306,120
1,248,1584,255,8,620,339,162
0,258,2833,302,176,454,321,114
0,238,3025,413,105,812,314,138
1,243,3201,330,200,457,308,112
1,246,2838,285,191,525,313,114
0,257,2753,287,159,447,321,114
0,237,3136,360,157,421,300,112
0,243,3201,330,200,457,308,112
0,231,3719,426,202,421,295,112
1,255,2193,340,19,534,332,141
1,249,2193,355,13,563,332,153
0,243,2149,342,14,507,334,167
1,230,3030,415,117,704,307,136
0,246,2721,330,68,698,319,116
0,244,4175,466,229,454,306,108
1,241,3093,392,56,493,310,119
1,244,3091,334,178,488,309,111
0,245,3003,326,179,483,310,112
0,244,3104,329,196,477,309,112
1,246,2967,323,173,466,310,111
1,244,4175,466,229,454,306,108
0,266,2097,297,70,457,335,122
0,257,2801,317,163,439,318,113
0,254,2263,366,10,509,355,192
0,241,3093,341,195,493,306,112
0,249,1665,243,32,576,323,140
0,243,3201,330,200,457,308,112
1,253,2858,318,154,442,314,110
0,246,2826,279,192,518,313,114
0,230,2258,347,80,1202,315,141
0,247,2145,361,8,459,337,171
1,249,2326,381,9,587,357,200
0,247,2789,283,188,511,314,114
0,255,1744,212,81,507,333,147
0,239,2008,312,49,1061,329,155
0,252,1772,213,83,482,331,148
0,252,1772,213,83,482,331,148
0,258,1761,213,79,496,336,146
1,220,3543,570,109,1980,326,183
1,228,1789,277,56,1433,325,161
0,257,2906,313,190,437,318,113
0,243,3153,328,201,463,308,112
1,250,2344,388,10,585,358,200
0,243,3174,331,195,465,309,113
0,247,2925,321,188,494,312,113
1,249,2670,310,142,567,315,112
0,248,2665,308,142,590,314,113
1,235,2915,439,97,1068,319,142
1,217,3643,548,142,1075,299,136
0,249,1783,254,26,774,334,153
1,256,1633,265,5,591,336,145
1,248,2665,308,142,590,314,113
0,243,3174,331,195,465,309,113
1,235,2972,448,102,1057,318,140
0,236,2535,388,76,1086,322,146
1,241,2470,330,78,696,319,144
0,244,1974,376,0,500,335,171
0,244,1974,376,0,500,335,171
0,233,1760,248,21,1020,323,162
1,233,2942,402,110,697,310,138
0,241,2470,330,78,696,319,144
0,237,2375,367,67,1045,324,148
0,224,1756,265,45,1477,316,155
0,232,3218,439,124,741,307,134
0,236,2535,388,76,1086,322,146
0,253,2885,322,132,413,313,112
1,242,2691,273,190,469,311,118
0,256,2545,324,32,761,335,129
0,227,2369,313,92,347,303,147
0,247,1871,279,62,423,324,145
0,207,2459,455,39,550,265,103
1,253,3985,522,209,262,296,74
0,238,3284,336,209,504,304,113
1,251,2731,291,143,345,310,106
0,249,3091,322,176,325,308,105
1,256,2140,308,31,390,326,131
1,252,2129,310,21,654,329,144
0,207,1832,246,53,530,288,158
1,247,2111,359,7,455,337,172
1,257,2828,296,174,442,320,115
1,248,2935,320,192,501,313,113
0,214,2424,261,140,558,285,117
0,250,1748,252,23,787,337,158
0,248,2417,341,60,439,317,133
1,223,1620,273,3,1211,332,201
1,252,2132,393,64,679,336,129
1,248,3677,369,240,375,307,104
0,233,2614,268,189,477,305,123
0,257,2374,333,62,603,325,103
1,255,2983,436,34,565,326,111
1,269,2083,316,50,520,333,105
0,266,2162,316,81,492,330,106
1,248,2083,377,54,661,329,125
0,247,2142,335,11,392,336,168
1,214,1110,186,20,1752,323,183
0,257,2612,330,69,347,319,114
1,247,2134,261,54,572,316,131
1,255,4000,504,237,309,300,77
1,262,2414,392,95,394,324,107
0,254,2860,327,167,374,314,106
1,250,1838,268,31,751,332,147
1,262,1626,299,2,838,350,162
0,262,2321,369,74,636,333,114
0,246,2907,334,133,610,313,110
1,247,2539,364,61,572,322,120
0,254,3524,415,212,454,322,116
1,252,7034,794,300,384,299,77
0,261,2116,346,4,346,348,167
0,249,3024,317,168,323,308,105
0,248,2931,355,86,731,316,111
0,243,1839,314,32,442,310,121
0,256,2237,278,104,384,327,132
0,247,2036,275,55,564,318,134
0,266,2242,297,81,384,325,102
0,249,1615,277,2,887,344,175
1,220,1076,180,23,1736,328,181
1,245,3934,433,197,546,309,107
0,240,2969,311,191,317,300,109
0,259,3420,461,115,592,339,132
0,265,2478,390,106,597,337,116
0,262,2424,378,86,487,330,114
0,244,1858,252,32,629,322,149
0,251,1622,286,43,480,317,118
1,253,2193,376,73,579,326,120
1,180,1687,257,40,1184,263,136
1,256,1803,323,1,625,350,176
0,246,2010,311,8,388,341,179
1,210,942,185,7,175,268,113
1,256,2661,268,185,496,316,107
0,245,2393,386,7,569,357,206
0,261,1937,333,5,562,353,171
0,261,2427,260,131,401,326,118
1,259,3100,360,193,421,320,107
1,252,3036,327,164,429,310,105
0,185,2016,282,69,625,271,166
0,240,2406,375,10,609,356,210
1,249,1976,293,22,560,325,140
0,245,1848,302,44,644,318,115
0,248,2531,355,63,574,323,117
1,231,2703,351,52,636,304,123
1,242,1741,267,33,953,332,156
0,261,2607,328,141,291,320,105
1,253,1616,257,7,633,342,160
1,21,790,157,4,905,118,190
1,238,1807,261,20,758,319,155
1,255,3644,437,202,426,327,125
1,224,1257,160,68,498,295,136
1,261,2438,379,16,406,350,175
1,256,2618,338,48,887,335,124
1,264,2218,402,80,549,334,117
1,258,2055,406,50,692,341,130
0,233,1770,254,26,1088,326,162
1,235,2151,284,51,754,315,152
1,148,826,120,28,462,224,141
0,225,1155,144,55,308,289,116
1,230,1934,322,9,494,329,187
1,247,1834,260,31,569,320,140
0,254,2764,343,68,776,329,119
1,245,2105,315,29,554,321,142
1,211,1116,188,21,1753,320,181
0,250,2565,321,55,742,324,119
1,84,1137,123,68,472,146,104
1,256,2914,301,209,456,317,109
1,254,3651,434,200,449,326,123
0,246,2250,276,56,566,315,130
0,224,3660,587,109,1997,330,181
1,261,2540,368,26,1118,351,133
0,262,2572,336,90,386,322,104
0,237,1983,368,4,925,339,194
1,254,2860,350,91,692,325,115
0,256,2594,300,109,477,334,145
1,258,2745,353,110,325,318,109
0,251,3120,335,186,384,310,105
1,249,1881,289,19,284,327,144
0,251,3384,390,184,419,307,100
1,243,1713,274,14,547,335,166
1,172,581,101,11,1756,275,173
1,249,3564,348,221,381,307,102
1,258,2164,394,68,685,341,129
1,59,1628,200,56,344,115,100
0,80,937,136,26,557,145,106
1,264,2295,334,86,320,325,109
1,248,2376,281,65,393,314,121
0,266,2115,250,83,408,328,107
0,250,3476,355,189,371,307,102
0,252,3268,359,207,434,311,102
0,220,2601,259,171,567,296,126
0,257,2387,263,108,439,324,124
1,250,3197,330,191,357,308,105
1,258,2077,217,111,352,319,111
0,236,2018,333,2,840,349,212
1,258,2847,344,169,425,317,102
0,235,1772,284,11,521,334,181
1,261,3142,373,166,370,330,122
1,250,3216,345,174,394,307,102
0,254,2701,291,159,561,316,108
1,262,3137,370,183,381,330,120
1,266,1999,320,75,388,327,110
0,258,1654,261,13,666,343,152
0,249,2402,380,8,498,351,186
1,240,2009,327,2,765,347,194
1,249,2754,282,174,492,312,112
1,244,2036,343,3,496,335,171
0,261,2571,317,134,327,321,104
1,248,1864,239,61,551,327,148
1,258,1897,330,5,536,349,170
1,254,2477,380,20,938,342,128
1,252,2819,340,95,344,315,118
1,249,2394,401,11,560,356,198
1,230,1475,249,11,929,327,177
1,176,3139,456,104,306,245,125
0,254,3519,401,237,413,318,111
1,239,1875,323,3,880,351,204
0,148,1238,157,59,251,199,94
0,266,2244,284,89,391,325,102
1,249,1686,259,30,836,337,157
0,249,2124,361,41,622,326,118
1,250,3065,329,215,475,310,103
0,262,2285,264,102,330,322,105
0,232,1952,219,99,497,311,151
0,230,1611,220,49,574,310,154
1,206,874,247,4,343,282,143
0,234,3308,464,117,919,312,138
1,247,2836,336,86,633,321,118
0,238,1851,301,17,520,332,171
0,246,3559,406,144,585,313,110
0,248,2739,279,185,372,313,114
1,244,1469,239,14,1010,340,170
0,258,1806,239,34,374,327,131
1,246,2008,315,10,308,330,163
1,236,2068,338,2,794,350,213
1,251,2096,319,26,553,330,145
1,265,2178,263,92,427,327,108
0,255,2144,331,23,518,334,146
0,162,1741,201,106,302,226,119
0,262,2572,269,134,438,330,124
0,258,1895,237,72,563,336,143
1,263,1778,347,42,528,329,115
0,234,2916,338,137,403,307,140
1,246,1611,274,36,938,338,160
0,219,4134,575,177,800,295,131
0,258,5687,646,238,270,314,99
1,236,3420,362,207,497,301,113
0,252,2486,346,61,369,319,125
0,211,1781,208,85,357,274,112
0,253,2188,305,30,452,325,135
1,225,1685,280,3,1128,333,201
1,251,2035,415,50,707,340,137
1,249,1985,271,56,614,326,141
1,246,2061,313,11,361,336,172
0,250,2343,303,59,415,317,129
1,104,777,115,23,551,171,111
1,198,1399,209,30,1262,280,131
1,215,3925,628,96,280,279,119
1,252,2941,305,159,334,311,106
0,247,1982,328,49,634,321,116
1,243,1748,207,96,485,321,148
0,258,2740,351,108,338,318,109
0,249,1695,251,28,840,337,158
1,10,894,160,7,1035,100,179
0,253,2964,332,169,447,313,107
1,226,1396,230,42,1879,331,173
1,262,1652,271,34,616,326,105
1,260,2605,340,76,373,322,109
0,257,2750,420,21,897,344,127
0,213,2882,308,194,221,273,114
1,259,1997,371,53,636,335,123
0,249,2470,270,78,453,315,125
0,254,2272,336,32,411,339,163
0,58,811,176,4,1419,183,230
0,253,2214,349,23,454,345,173
1,254,2927,332,166,574,318,109
0,243,2633,489,61,606,304,103
1,240,1870,266,20,687,319,151
1,231,1842,302,46,1662,334,174
0,246,2222,352,7,640,352,196
0,246,1821,254,30,600,320,141
1,162,926,113,39,402,238,140
1,248,2463,374,61,455,319,134
0,261,2080,232,103,354,326,117
1,207,1941,329,54,2000,312,173
0,249,3484,380,228,411,308,103
0,264,2264,314,77,388,329,118
0,236,1853,308,12,509,333,177
1,242,2726,282,189,419,310,119
0,138,919,125,35,452,215,143
1,251,2120,359,41,604,328,119
0,262,3292,468,93,639,343,133
1,245,1679,278,22,398,316,132
1,253,2688,287,154,396,313,111
0,254,1884,276,18,541,329,137
0,249,2449,304,50,712,325,123
1,156,816,119,28,446,231,139
0,119,1143,144,32,400,187,130
1,261,2514,327,78,281,322,112
0,120,1030,135,27,446,189,129
0,257,2674,320,157,368,316,104
1,248,6580,645,348,263,307,106
0,257,1960,352,36,562,320,108
1,248,2458,315,84,571,323,137
1,238,1897,255,32,729,319,154
1,237,193,67,0,1337,324,139
1,250,2006,389,49,667,333,128
1,251,2623,334,53,821,326,120
1,107,915,160,14,740,199,182
1,234,2156,371,5,911,352,219
1,98,809,117,26,590,165,109
0,255,2603,312,100,500,334,145
0,262,2339,332,83,459,329,115
0,253,2995,343,186,418,312,103
0,235,1897,384,4,932,332,187
1,246,1549,257,24,991,341,168
0,255,2747,283,187,488,315,107
1,202,234,103,0,1604,301,156
0,227,4328,688,110,281,291,119
0,256,1987,265,39,364,326,130
1,257,2066,334,17,441,333,135
0,260,2099,347,42,472,325,111
1,239,1989,322,1,783,351,210
0,258,2130,238,112,303,318,111
0,260,2252,313,50,379,332,134
0,235,1599,281,1,993,337,189
1,255,2156,351,23,509,335,149
0,247,2265,372,7,643,361,208
0,251,2908,322,159,419,310,108
1,249,2542,380,64,401,318,130
1,232,2399,335,61,1064,320,156
0,149,826,147,11,955,262,206
1,233,1539,261,9,784,330,179
0,120,824,109,39,673,197,128
1,143,1049,157,27,610,227,161
0,29,875,198,7,1203,148,218
1,245,1509,250,7,738,343,172
0,224,1702,278,9,551,322,184
0,233,1982,340,2,649,334,192
1,235,2437,407,11,591,347,200
0,263,1816,282,59,622,331,112
1,263,2901,431,59,628,342,122
0,267,1393,231,8,520,343,135
1,214,1283,221,41,2156,321,169
0,243,1743,293,47,1066,334,155
1,250,2665,337,60,747,322,117
0,102,729,157,7,1098,220,213
0,233,1596,277,1,1072,339,196
1,250,2284,364,17,575,332,154
0,235,1414,237,14,1109,334,176
0,265,2161,276,83,476,330,108
1,250,1903,305,6,247,336,166
0,241,2067,279,61,585,323,151
0,228,1783,309,3,1050,337,204
0,264,2396,372,89,562,333,112
1,242,2309,392,3,712,358,214
0,255,2888,336,177,433,313,101
1,254,2905,324,172,557,317,108
0,242,2158,361,1,675,356,212
0,264,2544,316,113,385,324,103
1,263,2574,292,128,315,322,105
1,235,2433,383,11,541,342,193
1,253,1552,261,1,603,345,175
0,265,1455,259,6,775,357,149
1,254,2839,359,85,722,321,112
1,253,2502,400,18,895,340,127
1,249,2115,357,9,484,343,180
1,247,3253,394,107,601,317,113
0,256,3310,334,232,395,316,111
0,250,1809,315,42,509,319,124
0,249,3456,350,203,400,307,103
0,210,2252,255,146,469,286,128
0,249,2834,347,76,698,318,113
1,239,2359,369,42,687,318,152
0,253,2817,338,107,649,317,109
0,239,1796,301,2,805,351,205
0,253,2272,377,17,677,334,128
1,251,2385,295,87,556,325,136
1,244,1614,270,24,435,313,128
1,240,1881,268,19,676,319,151
0,257,1962,280,30,401,327,132
0,253,2144,245,112,463,316,117
0,242,1654,267,11,599,336,168
0,260,2599,290,129,407,326,119
0,266,1864,346,53,486,331,114
1,256,1779,320,29,458,320,111
0,232,1934,317,10,519,332,187
0,249,1484,252,1,670,345,179
1,254,2629,358,27,726,333,129
0,232,1926,322,8,494,332,187
0,247,3460,411,160,492,314,110
0,265,2227,290,86,414,328,111
1,218,1483,231,18,546,288,126
0,264,2301,330,74,401,330,119
0,209,1829,315,10,673,306,183
1,67,676,132,5,1305,182,218
1,259,2619,363,38,984,344,129
1,212,2487,294,158,476,285,125
0,255,1879,286,10,375,341,160
0,250,1977,285,23,522,325,139
1,258,2245,328,33,386,335,148
1,245,2331,373,9,457,341,176
1,210,1406,178,62,557,288,148
1,246,2018,279,42,600,318,136
0,254,1870,291,8,571,332,143
1,239,1969,260,40,679,319,153
0,263,2339,375,85,446,326,107
1,253,3137,388,96,630,328,118
0,265,2475,308,101,369,324,102
0,244,1767,209,91,510,323,149
0,247,4080,446,207,517,310,107
1,226,2523,403,75,1844,328,173
1,13,771,170,6,1511,146,240
1,241,1866,258,26,674,320,151
1,71,1321,137,83,475,135,103
0,261,2587,330,152,300,320,105
1,267,2277,387,87,462,329,108
0,247,2410,349,64,574,322,118
1,255,2707,402,32,879,340,126
1,245,1643,285,40,1040,337,158
1,256,2872,336,166,356,316,106
1,252,2616,333,55,775,325,118
0,231,1024,136,48,290,297,120
0,239,1894,373,4,895,334,184
1,256,1747,272,11,358,346,169
1,256,2408,358,24,415,346,175
1,248,2033,283,71,421,324,142
0,250,1858,243,53,525,326,144
0,252,2844,327,127,644,317,110
1,236,1931,359,3,891,334,187
1,244,1714,289,46,1054,335,156
1,255,3294,427,121,559,330,121
0,235,2447,405,11,608,353,211
0,246,3375,434,137,486,317,116
1,267,2157,313,83,472,330,106
0,244,1706,286,44,1023,336,157
1,240,2354,383,5,602,355,210
0,229,1886,337,3,612,328,191
1,253,2951,382,95,411,330,142
1,241,1624,276,38,1141,336,165
1,250,3279,396,136,549,322,116
1,242,1991,306,21,539,327,155
1,111,1284,134,84,479,175,112
1,30,789,193,3,1156,142,209
0,244,2236,308,39,589,318,140
1,242,2332,373,9,456,342,183
0,229,1911,337,3,618,328,191
1,251,1876,285,69,649,322,113
1,241,1861,259,24,678,319,151
0,247,2544,426,67,468,318,135
0,262,2164,357,4,349,349,167
1,253,2948,347,144,589,319,110
0,253,3077,338,166,421,311,105
0,233,1902,330,5,529,331,188
0,253,2462,334,29,551,315,102
0,157,1401,201,27,832,261,200
1,237,2089,305,38,751,318,156
1,97,745,172,6,1237,195,186
0,257,2845,339,165,332,316,105
0,232,1375,231,16,1199,333,178
1,244,1896,248,39,620,322,149
0,242,1938,320,4,695,350,200
0,263,2441,344,49,545,331,107
1,239,2566,483,29,725,308,118
1,248,2478,340,68,596,318,107
1,248,1964,346,40,583,313,113
0,222,2170,344,58,1855,326,174
0,53,971,153,16,749,140,173
1,244,1947,246,52,587,323,149
1,259,1682,285,6,653,333,117
0,261,2731,333,149,306,321,106
0,113,789,167,8,1829,239,231
1,257,2805,335,163,335,316,104
1,248,1761,294,22,441,319,132
0,260,2283,402,87,512,327,112
1,233,1798,291,12,503,331,179
0,243,1799,295,35,657,315,112
1,252,1846,268,23,694,333,147
1,250,1724,292,15,325,331,153
1,245,2101,364,8,512,342,185
1,108,821,170,5,1032,222,207
1,262,3052,359,201,383,327,114
0,251,2799,266,199,441,314,114
0,263,1948,377,15,260,334,133
0,256,3226,367,187,347,316,107
1,246,1821,215,85,525,320,140
1,235,3042,448,101,1045,318,142
1,253,2112,321,62,511,325,125
1,249,2314,388,14,563,330,150
1,263,2683,344,145,320,323,105
1,229,1947,324,9,513,328,187
1,247,2914,321,168,484,311,111
0,91,1139,153,30,206,152,117
1,226,3979,424,226,435,289,111
1,248,2115,284,64,600,325,141
1,249,2347,301,83,568,324,139
0,220,2549,395,84,1989,323,171
0,227,3776,523,154,798,302,131
0,265,2224,297,84,401,327,109
1,244,2903,322,177,528,309,112
1,244,1976,345,6,460,337,178
0,252,3087,388,96,647,325,116
1,258,1772,255,60,457,332,139
0,251,2776,308,156,390,309,108
0,255,2475,379,19,455,335,151
0,250,1465,241,14,929,350,172
1,254,2828,310,154,440,314,110
0,156,749,114,14,838,253,186
1,246,2072,368,37,633,325,121
1,254,1731,270,12,648,337,151
0,255,2746,258,172,405,319,117
0,255,1555,263,1,623,347,175
1,249,3369,350,197,361,306,103
1,259,2854,375,59,387,327,124
1,250,1814,240,55,502,325,143
0,141,1746,222,89,437,217,130
1,267,2605,351,76,395,326,102
0,260,2382,377,93,561,329,112
1,254,2418,371,18,966,343,128
0,252,2665,364,103,324,293,71
0,258,2800,358,73,307,322,119
1,274,1440,230,20,606,359,149
1,252,1875,288,20,565,333,147
0,257,2157,372,38,425,322,115
1,262,2274,346,73,476,330,117
1,231,1700,279,41,1622,333,174
0,253,2940,351,129,618,319,110
0,256,1764,276,21,601,335,143
0,233,2724,370,83,870,313,146
1,130,833,125,15,611,226,189
1,191,4661,731,211,930,276,149
0,244,2518,370,95,412,319,142
1,263,1877,321,27,563,327,105
0,260,2479,349,64,312,324,117
1,254,1947,281,29,578,331,140
0,200,1808,251,45,690,296,180
1,249,4548,538,279,189,299,94
1,241,2338,397,3,673,356,212
1,250,2461,270,79,446,316,125
1,255,2930,327,168,424,316,112
1,229,2450,417,10,623,347,209
1,259,2037,382,54,656,337,125
1,224,2422,379,78,1943,327,172
1,26,509,126,4,1869,163,244
1,259,2776,382,112,444,331,123
1,228,2753,418,97,1138,311,138
1,255,1773,313,1,669,353,184
0,250,2344,356,17,475,347,182
0,249,1762,271,16,601,332,151
0,263,2213,303,43,423,338,138
1,207,3366,446,114,275,280,130
0,244,1886,241,44,577,323,149
0,226,1935,338,7,510,323,187
1,255,1884,269,20,514,329,137
1,254,2681,349,40,737,331,128
0,-2,730,176,4,1688,137,249
0,257,4001,511,112,377,318,106
0,248,1880,270,38,599,323,140
0,242,2688,280,180,558,311,115
0,263,1783,325,1,639,351,164
0,263,2916,412,34,785,344,124
1,251,3399,375,223,409,310,104
1,255,1979,306,47,634,325,110
1,233,1882,296,11,526,333,185
1,214,592,208,3,705,296,145
1,243,2195,352,18,492,333,166
0,228,2319,374,66,1801,329,173
1,248,2348,342,48,466,320,136
1,253,2972,435,39,592,326,114
0,248,2281,383,10,585,353,196
0,253,1892,323,2,549,349,180
0,244,1623,263,10,599,338,167
0,256,2527,324,64,338,320,118
1,249,3074,351,147,560,315,109
0,247,3385,367,223,442,306,102
1,252,7030,766,331,356,299,78
0,128,720,142,6,784,220,180
